Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
7.0,17.0,0.0,-1.0,3.0,311.00629752875,144.91249260349,0.0,77.253705232101,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
8.0,1.0,3.5042659146711,5.0,2.0,160.39386322706,36.827054348988,0.0,18.417499757744,-1.0,-1.0,-1.0,100.0,8.4108828362077,5.0,1.8,1.0,8.0
8.0,4.0,-2.8251596322982,-1.0,6.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
8.0,5.0,4.4943762137555,-1.0,1.0,161.68121001441,37.444980806918,0.0,9.5943762137555,1.0,3.8231235439889,0.85064608794606,100.0,4.4943762137555,5.0,1.8,1.0,8.0
8.0,12.0,-4.5,11.0,7.0,164.41686199931,-17.324985007406,0.0,50.579084422183,-1.0,-1.0,-1.0,100.0,6.5773085218854,5.0,1.8,1.0,1.0
8.0,14.0,0.0,4.0,7.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,225.03321348058,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
8.0,16.0,0.0,-1.0,7.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
8.0,17.0,0.0,-1.0,4.0,309.90528502875,144.91354260349,0.0,112.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
9.0,1.0,-0.5,5.0,3.0,159.28024168204,36.286753460711,0.0,26.328382593952,-1.0,-1.0,-1.0,100.0,7.9108828362077,5.0,1.8,1.0,8.0
9.0,4.0,0.0,-1.0,7.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
9.0,5.0,30.505623786245,21.0,2.0,156.48549576533,34.91074350908,0.0,44.594376213755,1.0,-23.265993619803,-0.66474267485152,100.0,35.0,5.0,1.8,1.0,8.0
9.0,12.0,-4.5,11.0,8.0,164.46668368832,-17.354372019284,0.0,52.656392944069,-1.0,-1.0,-1.0,100.0,2.0773085218854,5.0,1.8,1.0,1.0
9.0,14.0,0.0,4.0,8.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,233.74342175179,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
9.0,16.0,0.0,-1.0,8.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
